id,title,boat_type,make_model,length,capacity,rate,contact,location,features,url
001,Hunter Legend 35 Cruising Motorsail Yacht,Sailboat (Motorsail Yacht),Hunter Legend 35,35ft,6,$220/hour (weekends & holidays; weekday discounts available),"Contact via GetMyBoat messaging (Owner: MARCO, Superowner, 116 bookings)","Stamford, CT (slip near Jack Island/Long Island Sound)","Wing keel, 55ft mast, bluetooth/wifi, large fridge, swimming ladder w/ hot/cold shower, water toys (paddle board, windsurf, surf, snorkel), USCG Captain, sailing lessons",https://www.getmyboat.com/trips/ZNGlnBZa/
002,24ft Cobia Center Console - Captain Optional,Center Console,Cobia 220 CC,24ft,8,"$200/hr (self-captain, fuel included). Captain: $50/hr + gratuity + $25/hr fuel minimum","Contact via GetMyBoat messaging (Owner: LUKE, 35 bookings)","4 Star Point, Stamford, CT 06902","Bluetooth sound system, GPS ChartPlotter, rod holders, fish storage, new upholstery, cooler w/ ice & waters",https://www.getmyboat.com/trips/rYD6vw1N/
003,32' Luxurious Yacht Certified Express Cruiser,Motor Yacht (Express Cruiser),Rinker 290 Express Cruiser,32ft,8,$300/hour,"Contact via GetMyBoat messaging (Owner: JOSEPH, 18 bookings)","4 Star Point, Stamford, CT 06902","Cabin sleeps 4, 6ft+ headroom, kitchenette (fridge/microwave/sink), full bathroom w/ shower, 6 JL Audio speakers w/ Bluetooth, retractable bimini, bow sunbathing cushion",https://www.getmyboat.com/trips/GaZ8dvkK/
004,30ft 2022 Pontoon w/ Slide - Charter Specialists,Pontoon,Aloha Tropical Sundeck 260,30ft,10,$300/hr + $50/hr crew fee + 10% gratuity minimum,"Contact via GetMyBoat messaging (Owner: LUKE, 15 bookings, former Boatsetter pro)","The Village Dock, 4 Star Point, Stamford, CT 06902","Waterslide, Bluetooth audio, floating mat, Jet Ski(s), GPS ChartPlotter, Depth Sounder, cooler w/ ice & water, 2022 model",https://www.getmyboat.com/trips/WYb44e1N/
005,25ft Seacraft Pacific Center Console Adventure,Center Console,Seacraft Pacific 25,25ft,6,$250/hour (Captain required & included),"Contact via GetMyBoat messaging (Owner: ALEX, USCG Licensed Captain, 21 bookings, 10+ yrs exp)","333 Ludlow Street, Stamford, CT 06902","Twin outboards, GPS ChartPlotter, Bluetooth Sound System, Fish Finder, Ski Gear. Dog friendly",https://www.getmyboat.com/trips/GaZ86R3K/
006,Sailing JOURNEY on the Sound,Sailboat (Sloop),J Boats J/32,32ft,6,"$262/hour (includes yacht, captain, fuel, snacks, water, kids activities)","Contact via GetMyBoat messaging (Owner: YORK, USCG 100 ton + RYA 200 ton licenses)","123 Harbor Drive, Stamford, CT 06902","1 cabin, bathroom w/ hot shower, cold refrigerator, Bluetooth stereo, electronic navigation, Autopilot, Dinghy/Tender, GPS ChartPlotter, Paddleboards",https://www.getmyboat.com/trips/qK0e8oyN/
007,Hunter Marine Passage 450 - Norwalk/Westport CT,Sailboat (Cruising Monohull),Hunter Marine Passage 450,45ft,12,$200/hour (Superowner; partial day discounts available),"Contact via GetMyBoat messaging (Owner: MARK, Superowner, 192 bookings)","Norwalk/Westport, CT (repositionable to Northport, Huntington, City Island, Port Washington, Brooklyn, Jersey City)","Center cockpit sloop-rigged, 8.4 knot hull speed, in-mast furling, full Bimini + solar panels, aft steps w/ hot/cold shower, full galley w/ microwave, ice-filled coolers",https://www.getmyboat.com/trips/BN9p61bK/
008,Great Times Around Norwalk Westport Rowayton,Motor Yacht,Bertram Sport Fish,Not specified,6,$235/hour (1-6 passengers) + possible fuel charge,"Contact via GetMyBoat messaging (Owner: MARK, 63 bookings)","48 Calf Pasture Beach Road, Norwalk, CT 06855","1 cabin, 1 stand-up head/bathroom, comfortable roomy layout, blow-up floats included",https://www.getmyboat.com/trips/BK1ebeQK/
009,Sunset 3-6 Hour Cruises - Spacious Cruiser Norwalk,Motor Yacht (Express Cruiser),Chris-Craft 328 Express Cruiser (M/V DRIFT),33ft,6,$350+/hour (mid-week lighthouse tour discounts available),"Contact via GetMyBoat messaging (Owner: MATT, USCG licensed, 30+ yrs boating, 9 bookings)","46 Calf Pasture Beach Road, Norwalk, CT 06855","Twin engine, air conditioned cabin, Bluetooth sound system, refrigerator & freezer, hot water shower & restroom, retractable shade, extra large swim platform, GPS ChartPlotter, Generator, BBQ, Fish Finder, Paddleboards",https://www.getmyboat.com/trips/6KPAAVLN/
010,Robalo 207 Center Console - Norwalk,Center Console,Robalo 207,20ft,6,$200/hour (fuel NOT included - renter returns with same fuel level),"Contact via GetMyBoat messaging (Owner: BENJAMIN, 4 bookings)","184-200 Connecticut 136, Norwalk, CT 06855",Open deck center-console layout. SELF-CAPTAIN (renter must be qualified operator),https://www.getmyboat.com/trips/8K5pmg9Y/
011,38ft Charter - Sunsets Cruises Norwalk,Motor Yacht,Sea Ray 38 Sundancer,38ft,6,$285+/hour,"Contact via GetMyBoat messaging (Owner: MITCH/CAPTAIN, 30+ yrs chartering, 2 bookings)","25 South Smith Street, Norwalk, CT 06855","1 cabin, 1 toilet, AC cabin below, GPS ChartPlotter, Inverter, Generator, BBQ, Oven, Wi-Fi, Bluetooth Sound System, Fish Finder, Jet Ski(s), Paddleboards",https://www.getmyboat.com/trips/BN9jM9ya/
012,33ft Charter - Sunset Cruises Norwalk,Motor Yacht,Sea Ray 330 Sundancer,33ft,6,$265+/hour,"Contact via GetMyBoat messaging (Owner: MITCH/CAPTAIN, USCG OUPV+Master License, 2 bookings)","23 Platt Street, Norwalk, CT 06855","1 cabin, 1 toilet, AC cabin below, GPS ChartPlotter, Inverter, BBQ, Oven, Wi-Fi, Bluetooth Sound System, Fish Finder",https://www.getmyboat.com/trips/JK7g9P3K/
013,Explore Norwalk Islands on Paddleboard - Calf Pasture Beach,Paddleboard (SUP),Breeze Big Sport rigid inflatable,11ft,2,$25/hour,"Contact via GetMyBoat messaging (Owner: CAPTAIN MATT, 9 bookings, 30+ yrs boating)","14 Canfield Avenue, Norwalk, CT 06855","2 boards available, customizable paddle length, life jackets included, fully inflated & ready, self-captain/independent exploration",https://www.getmyboat.com/trips/DYeZx24K/
